Year,Month,CharCode,InRuR
2006,11,SEK,3.6917
2006,11,CHF,21.43
2006,11,JPY,0.227827
2006,12,AUD,20.6703
2006,12,GBP,51.3876
2006,12,BYR,0.0122874
2006,12,DKK,4.65243
2006,12,USD,26.3081
2006,12,EUR,34.6899
2006,12,ISK,0.38378
2006,12,KZT,0.205628
2006,12,CAD,23.1178
2006,12,CNY,3.35242
2006,12,NOK,4.22349
2006,12,XDR,39.6195
2006,12,SGD,17.05
2006,12,TRY,17.9577
2006,12,UAH,5.20303
2006,12,SEK,3.81913
2006,12,CHF,21.7981
2006,12,JPY,0.226579
2007,1,AUD,20.87
2007,1,GBP,51.7775
2007,1,BYR,0.0122906
2007,1,DKK,4.65329
2007,1,USD,26.3311
2007,1,EUR,34.6965
2007,1,ISK,0.370704
2007,1,KZT,0.207609
2007,1,CAD,22.6894
2007,1,CNY,3.37155
2007,1,NOK,4.2041
2007,1,XDR,39.5799
2007,1,SGD,17.1695
2007,1,TRY,18.6217
2007,1,UAH,5.21987
2007,1,SEK,3.83818
2007,1,CHF,21.597
2007,1,JPY,0.221624
2007,2,AUD,20.5033
2007,2,GBP,52.0614
2007,2,BYR,0.0123467
2007,2,DKK,4.61334
2007,2,USD,26.5484
2007,2,EUR,34.3802
2007,2,ISK,0.388418
2007,2,KZT,0.210323
2007,2,CAD,22.5006
2007,2,CNY,3.41459
2007,2,NOK,4.21973
2007,2,XDR,39.6007
2007,2,SGD,17.2762
2007,2,TRY,18.6435
2007,2,UAH,5.23823
2007,2,SEK,3.79795
2007,2,CHF,21.1524
2007,2,JPY,0.218667
2007,3,AUD,20.5942
2007,3,GBP,51.2189
2007,3,BYR,0.0121718
2007,3,DKK,4.632
2007,3,USD,26.1481
2007,3,EUR,34.539
2007,3,ISK,0.392437
2007,3,KZT,0.210008
2007,3,CAD,22.3928
2007,3,CNY,3.37896
2007,3,NOK,4.25352
2007,3,XDR,39.3633
2007,3,SGD,17.0925
2007,3,TRY,18.209
2007,3,UAH,5.16567
2007,3,SEK,3.73208
2007,3,CHF,21.4136
2007,3,JPY,0.220976
2007,4,AUD,20.9937
2007,4,GBP,51.055
2007,4,BYR,0.0121237
2007,4,DKK,4.65635
2007,4,USD,26.0113
2007,4,EUR,34.6861
2007,4,ISK,0.394769
2007,4,KZT,0.210061
2007,4,CAD,22.4758
2007,4,CNY,3.36455
2007,4,NOK,4.27424
2007,4,XDR,39.3613
2007,4,SGD,17.1454
2007,4,TRY,18.6863
2007,4,UAH,5.13966
2007,4,SEK,3.72159
2007,4,CHF,21.3821
2007,4,JPY,0.220997
2007,5,AUD,21.3315
2007,5,GBP,51.3265
2007,5,BYR,0.0119479
2007,5,DKK,4.70647
2007,5,USD,25.6851
2007,5,EUR,35.0653
2007,5,ISK,0.400079
2007,5,KZT,0.213842
2007,5,CAD,23.0009
2007,5,CNY,3.32618
2007,5,NOK,4.31081
2007,5,XDR,39.1885
2007,5,SGD,16.9371
2007,5,TRY,19.2614
2007,5,UAH,5.08233
2007,5,SEK,3.83755
2007,5,CHF,21.2995
2007,5,JPY,0.214938
2007,6,AUD,21.3659
